adversarial_fraction,seed,algorithm,accuracy
0.0,1000,majority_vote,0.98
0.0,1000,reputation_weighted,1.0
0.0,1000,time_decayed,0.96
0.0,1001,majority_vote,0.98
0.0,1001,reputation_weighted,1.0
0.0,1001,time_decayed,0.98
0.0,1002,majority_vote,0.96
0.0,1002,reputation_weighted,0.98
0.0,1002,time_decayed,0.84
0.0,1003,majority_vote,1.0
0.0,1003,reputation_weighted,1.0
0.0,1003,time_decayed,0.98
0.0,1004,majority_vote,0.98
0.0,1004,reputation_weighted,1.0
0.0,1004,time_decayed,1.0
0.0,1005,majority_vote,1.0
0.0,1005,reputation_weighted,1.0
0.0,1005,time_decayed,0.96
0.0,1006,majority_vote,1.0
0.0,1006,reputation_weighted,0.98
0.0,1006,time_decayed,0.96
0.0,1007,majority_vote,0.98
0.0,1007,reputation_weighted,1.0
0.0,1007,time_decayed,1.0
0.0,1008,majority_vote,0.98
0.0,1008,reputation_weighted,0.98
0.0,1008,time_decayed,1.0
0.0,1009,majority_vote,0.98
0.0,1009,reputation_weighted,0.98
0.0,1009,time_decayed,0.98
0.0,1010,majority_vote,1.0
0.0,1010,reputation_weighted,1.0
0.0,1010,time_decayed,1.0
0.0,1011,majority_vote,1.0
0.0,1011,reputation_weighted,1.0
0.0,1011,time_decayed,0.94
0.0,1012,majority_vote,1.0
0.0,1012,reputation_weighted,1.0
0.0,1012,time_decayed,1.0
0.0,1013,majority_vote,0.92
0.0,1013,reputation_weighted,0.92
0.0,1013,time_decayed,0.86
0.0,1014,majority_vote,1.0
0.0,1014,reputation_weighted,1.0
0.0,1014,time_decayed,0.98
0.0,1015,majority_vote,0.98
0.0,1015,reputation_weighted,1.0
0.0,1015,time_decayed,0.98
0.0,1016,majority_vote,0.96
0.0,1016,reputation_weighted,0.98
0.0,1016,time_decayed,0.98
0.0,1017,majority_vote,1.0
0.0,1017,reputation_weighted,1.0
0.0,1017,time_decayed,0.96
0.0,1018,majority_vote,1.0
0.0,1018,reputation_weighted,1.0
0.0,1018,time_decayed,0.98
0.0,1019,majority_vote,0.98
0.0,1019,reputation_weighted,0.98
0.0,1019,time_decayed,0.98
0.0,1020,majority_vote,1.0
0.0,1020,reputation_weighted,1.0
0.0,1020,time_decayed,1.0
0.0,1021,majority_vote,0.98
0.0,1021,reputation_weighted,1.0
0.0,1021,time_decayed,0.98
0.0,1022,majority_vote,0.98
0.0,1022,reputation_weighted,1.0
0.0,1022,time_decayed,1.0
0.0,1023,majority_vote,0.98
