adversarial_fraction,algorithm,mean_accuracy,std_accuracy,ci95_halfwidth,n
0.0,majority_vote,0.9853333333333333,0.018143742786394725,0.006492654971764284,30
0.0,reputation_weighted,0.992,0.016273524086899447,0.0058234058052323455,30
0.0,time_decayed,0.9686666666666667,0.03812260921465546,0.013642000504976453,30
0.1,majority_vote,0.954,0.038291081161958895,0.013702287417061795,30
0.1,reputation_weighted,0.9893333333333333,0.015521583045227232,0.00555432715921298,30
0.1,time_decayed,0.9706666666666667,0.026643668243529532,0.009534314232954578,30
0.2,majority_vote,0.8873333333333333,0.044406688944217704,0.01589072955605736,30
0.2,reputation_weighted,0.9833333333333333,0.01899788251963586,0.006798304949880593,30
0.2,time_decayed,0.954,0.03244092774726776,0.011608836903534887,30
0.3,majority_vote,0.7406666666666667,0.06653665483612481,0.023809836146391428,30
0.3,reputation_weighted,0.9786666666666667,0.02161310798523919,0.0077341513637895504,30
0.3,time_decayed,0.9366666666666666,0.04269646947637622,0.015278735379254133,30
0.4,majority_vote,0.5626666666666666,0.07041420964223223,0.02519740131343293,30
0.4,reputation_weighted,0.9673333333333333,0.028031181324317787,0.010030829412232972,30
0.4,time_decayed,0.9253333333333333,0.041334074891382716,0.014791208738257232,30
0.5,majority_vote,0.3586666666666667,0.05940703158969358,0.021258533233716813,30
0.5,reputation_weighted,0.9486666666666667,0.02661777126519867,0.009525047118275263,30
0.5,time_decayed,0.8946666666666667,0.05655228483041361,0.020236975225648837,30
0.6,majority_vote,0.16133333333333333,0.0579972254588057,0.02075404058891385,30
0.6,reputation_weighted,0.91,0.04510524092187834,0.01614070317088368,30
0.6,time_decayed,0.8486666666666667,0.06404380684658197,0.022917781949872804,30
0.7,majority_vote,0.05,0.03227040920634301,0.011547817627327817,30
0.7,reputation_weighted,0.8573333333333333,0.061191239700564615,0.021897003906393868,30
0.7,time_decayed,0.7666666666666666,0.06177452512179263,0.02210572991373859,30
0.8,majority_vote,0.012,0.018643663987975963,0.006671549476230623,30
0.8,reputation_weighted,0.7326666666666667,0.07380932252740181,0.026412326856255698,30
0.8,time_decayed,0.5966666666666667,0.06412989691369322,0.022948588884738996,30
