report_probability,base_rate,realised_stocked_fraction,algorithm,mean_accuracy,mean_balanced_accuracy,n_seeds
0.02,0.5,0.5226666666666666,majority_vote,0.5553333333333333,0.5367634820105872,30
0.02,0.5,0.5226666666666666,reputation_weighted,0.5760000000000001,0.5596847900381233,30
0.02,0.5,0.5226666666666666,time_decayed,0.56,0.5442792046168013,30
0.02,0.6,0.6206666666666667,majority_vote,0.618,0.5394165732059284,30
0.02,0.6,0.6206666666666667,reputation_weighted,0.6333333333333333,0.56170573907094,30
0.02,0.6,0.6206666666666667,time_decayed,0.6173333333333333,0.5470420804553301,30
0.02,0.7,0.73,majority_vote,0.6826666666666666,0.5434844440841868,30
0.02,0.7,0.73,reputation_weighted,0.6926666666666667,0.563696446134424,30
0.02,0.7,0.73,time_decayed,0.6766666666666666,0.5504218645641342,30
0.3,0.5,0.5226666666666666,majority_vote,0.748,0.7446086898918988,30
0.3,0.5,0.5226666666666666,reputation_weighted,0.9893333333333333,0.9894132432402691,30
0.3,0.5,0.5226666666666666,time_decayed,0.9493333333333334,0.9479487162119679,30
0.3,0.6,0.6206666666666667,majority_vote,0.7606666666666667,0.7455638486900339,30
0.3,0.6,0.6206666666666667,reputation_weighted,0.9893333333333333,0.9888656280148174,30
0.3,0.6,0.6206666666666667,time_decayed,0.9493333333333334,0.9470358264784782,30
0.3,0.7,0.73,majority_vote,0.7713333333333333,0.7473157784181166,30
0.3,0.7,0.73,reputation_weighted,0.9893333333333333,0.9868970522917891,30
0.3,0.7,0.73,time_decayed,0.9493333333333334,0.9462676596066504,30
