adversarial_fraction,flip_probability,algorithm,mean_accuracy,std_accuracy,ci95_halfwidth,n
0.0,0.0,majority_vote,0.992,0.009965457582448805,0.0035660931969951643,30
0.0,0.0,reputation_weighted,0.9946666666666667,0.008995528902176081,0.0032190086763221946,30
0.0,0.0,time_decayed,0.9753333333333333,0.02145296914316225,0.00767684641511253,30
0.0,0.4,majority_vote,0.7913333333333333,0.056977511191778074,0.02038914052482341,30
0.0,0.4,reputation_weighted,0.818,0.04342254300912499,0.015538557456086196,30
0.0,0.4,time_decayed,0.896,0.05021333797254298,0.01796861222485911,30
0.0,0.8,majority_vote,0.5946666666666667,0.07084384641387453,0.025351144857656226,30
0.0,0.8,reputation_weighted,0.6493333333333333,0.056503483770126234,0.02021951199050312,30
0.0,0.8,time_decayed,0.8,0.0678741228431288,0.024288442926011435,30
0.4,0.0,majority_vote,0.5366666666666666,0.08188862635578144,0.029303468600673392,30
0.4,0.0,reputation_weighted,0.9686666666666667,0.025560386016907757,0.00914666666666667,30
0.4,0.0,time_decayed,0.9353333333333333,0.0358861545997063,0.012841695499232919,30
0.4,0.4,majority_vote,0.5046666666666667,0.06317645422003432,0.022607403798610093,30
0.4,0.4,reputation_weighted,0.7966666666666666,0.061941759816745615,0.022165574080756444,30
0.4,0.4,time_decayed,0.8119999999999999,0.05345962059800611,0.019130279543234565,30
0.4,0.8,majority_vote,0.496,0.059283073120585526,0.021214175265230277,30
0.4,0.8,reputation_weighted,0.6406666666666667,0.06612075334559117,0.023661007709388768,30
0.4,0.8,time_decayed,0.658,0.05235159649115214,0.01873377820881339,30
0.8,0.0,majority_vote,0.01,0.012594470598448052,0.004506873422448983,30
0.8,0.0,reputation_weighted,0.74,0.09454063165900023,0.033830930552808704,30
0.8,0.0,time_decayed,0.614,0.10688698511141052,0.038249016394835744,30
0.8,0.4,majority_vote,0.19466666666666668,0.04925187434440218,0.01762455688418817,30
0.8,0.4,reputation_weighted,0.5566666666666666,0.09869260299058623,0.03531669441233932,30
0.8,0.4,time_decayed,0.454,0.09368325210056454,0.033524121218135985,30
0.8,0.8,majority_vote,0.38866666666666666,0.06361160885883327,0.02276312188623658,30
0.8,0.8,reputation_weighted,0.4713333333333333,0.07060005535473718,0.025263905347549923,30
0.8,0.8,time_decayed,0.31666666666666665,0.05094509101817932,0.018230466689276286,30
