report_probability,seed,algorithm,accuracy,reports_per_atm,zero_report_fraction
0.02,4000,majority_vote,0.7,0.7,0.46
0.02,4000,reputation_weighted,0.7,0.7,0.46
0.02,4000,time_decayed,0.7,0.7,0.46
0.02,4001,majority_vote,0.58,0.52,0.6
0.02,4001,reputation_weighted,0.62,0.52,0.6
0.02,4001,time_decayed,0.6,0.52,0.6
0.02,4002,majority_vote,0.6,0.56,0.54
0.02,4002,reputation_weighted,0.66,0.56,0.54
0.02,4002,time_decayed,0.64,0.56,0.54
0.02,4003,majority_vote,0.68,0.52,0.58
0.02,4003,reputation_weighted,0.68,0.52,0.58
0.02,4003,time_decayed,0.68,0.52,0.58
0.02,4004,majority_vote,0.62,0.52,0.62
0.02,4004,reputation_weighted,0.62,0.52,0.62
0.02,4004,time_decayed,0.62,0.52,0.62
0.02,4005,majority_vote,0.7,0.78,0.46
0.02,4005,reputation_weighted,0.72,0.78,0.46
0.02,4005,time_decayed,0.7,0.78,0.46
0.02,4006,majority_vote,0.62,0.6,0.56
0.02,4006,reputation_weighted,0.64,0.6,0.56
0.02,4006,time_decayed,0.62,0.6,0.56
0.02,4007,majority_vote,0.56,0.5,0.6
0.02,4007,reputation_weighted,0.56,0.5,0.6
0.02,4007,time_decayed,0.54,0.5,0.6
0.02,4008,majority_vote,0.84,0.74,0.42
0.02,4008,reputation_weighted,0.86,0.74,0.42
0.02,4008,time_decayed,0.78,0.74,0.42
0.02,4009,majority_vote,0.74,0.54,0.58
0.02,4009,reputation_weighted,0.74,0.54,0.58
0.02,4009,time_decayed,0.74,0.54,0.58
0.02,4010,majority_vote,0.6,0.72,0.54
0.02,4010,reputation_weighted,0.6,0.72,0.54
0.02,4010,time_decayed,0.56,0.72,0.54
0.02,4011,majority_vote,0.7,0.38,0.64
0.02,4011,reputation_weighted,0.7,0.38,0.64
0.02,4011,time_decayed,0.7,0.38,0.64
0.02,4012,majority_vote,0.64,0.76,0.44
0.02,4012,reputation_weighted,0.66,0.76,0.44
0.02,4012,time_decayed,0.64,0.76,0.44
0.02,4013,majority_vote,0.72,0.28,0.78
0.02,4013,reputation_weighted,0.72,0.28,0.78
0.02,4013,time_decayed,0.68,0.28,0.78
0.02,4014,majority_vote,0.62,0.5,0.62
0.02,4014,reputation_weighted,0.64,0.5,0.62
0.02,4014,time_decayed,0.64,0.5,0.62
0.02,4015,majority_vote,0.72,0.72,0.5
0.02,4015,reputation_weighted,0.76,0.72,0.5
0.02,4015,time_decayed,0.72,0.72,0.5
0.02,4016,majority_vote,0.64,0.4,0.66
0.02,4016,reputation_weighted,0.66,0.4,0.66
0.02,4016,time_decayed,0.66,0.4,0.66
0.02,4017,majority_vote,0.58,0.68,0.46
0.02,4017,reputation_weighted,0.58,0.68,0.46
0.02,4017,time_decayed,0.56,0.68,0.46
0.02,4018,majority_vote,0.72,0.44,0.66
0.02,4018,reputation_weighted,0.72,0.44,0.66
0.02,4018,time_decayed,0.7,0.44,0.66
0.02,4019,majority_vote,0.56,0.56,0.52
0.02,4019,reputation_weighted,0.56,0.56,0.52
0.02,4019,time_decayed,0.56,0.56,0.52
0.02,4020,majority_vote,0.46,0.74,0.44
0.02,4020,reputation_weighted,0.5,0.74,0.44
0.02,4020,time_decayed,0.5,0.74,0.44
0.02,4021,majority_vote,0.7,0.54,0.54
0.02,4021,reputation_weighted,0.7,0.54,0.54
0.02,4021,time_decayed,0.7,0.54,0.54
0.02,4022,majority_vote,0.64,0.56,0.54
0.02,4022,reputation_weighted,0.66,0.56,0.54
0.02,4022,time_decayed,0.66,0.56,0.54
0.02,4023,majority_vote,0.62,0.58,0.52
0.02,4023,reputation_weighted,0.64,0.58,0.52
0.02,4023,time_decayed,0.62,0.58,0.52
