report_probability,reports_per_atm,zero_report_fraction,algorithm,mean_accuracy,std_accuracy,ci95_halfwidth,n
0.02,0.5860000000000001,0.5473333333333333,majority_vote,0.6573333333333333,0.074042547569453,0.026495785365706626,30
0.02,0.5860000000000001,0.5473333333333333,reputation_weighted,0.6706666666666666,0.07234654786861461,0.025888879667174777,30
0.02,0.5860000000000001,0.5473333333333333,time_decayed,0.6546666666666666,0.06866878693300599,0.024572809818485933,30
0.05,1.5333333333333334,0.21333333333333335,majority_vote,0.65,0.07177551210497236,0.0256845371435006,30
0.05,1.5333333333333334,0.21333333333333335,reputation_weighted,0.6940000000000001,0.06708717951421429,0.024006838872364645,30
0.05,1.5333333333333334,0.21333333333333335,time_decayed,0.6546666666666666,0.06826587643220786,0.024428630147456613,30
0.1,2.981333333333333,0.04133333333333333,majority_vote,0.6653333333333333,0.0762813907497277,0.027296945108574628,30
0.1,2.981333333333333,0.04133333333333333,reputation_weighted,0.788,0.054985891607412074,0.019676448609570213,30
0.1,2.981333333333333,0.04133333333333333,time_decayed,0.7153333333333334,0.060954099934709675,0.021812144531020913,30
0.15,4.4766666666666675,0.008,majority_vote,0.68,0.06432675209026768,0.023019032604976373,30
0.15,4.4766666666666675,0.008,reputation_weighted,0.8693333333333333,0.05297581317553507,0.018957151280567696,30
0.15,4.4766666666666675,0.008,time_decayed,0.8013333333333333,0.061461136211168554,0.021993585132333016,30
0.2,5.979333333333333,0.002,majority_vote,0.6913333333333334,0.07623617266749758,0.02728076402566018,30
0.2,5.979333333333333,0.002,reputation_weighted,0.9253333333333333,0.040661201818605074,0.01455042420152912,30
0.2,5.979333333333333,0.002,time_decayed,0.868,0.0447521912389735,0.016014365964388957,30
0.3,8.925999999999998,0.0,majority_vote,0.752,0.07116760208273774,0.025466999335854508,30
0.3,8.925999999999998,0.0,reputation_weighted,0.9753333333333333,0.01870521471331631,0.006693575120421103,30
0.3,8.925999999999998,0.0,time_decayed,0.9353333333333333,0.03989065514398192,0.014274687615265347,30
0.4,11.969333333333333,0.0,majority_vote,0.7753333333333333,0.07157023718400488,0.02561108045642733,30
0.4,11.969333333333333,0.0,reputation_weighted,0.988,0.017888543819998333,0.006401333194473377,30
0.4,11.969333333333333,0.0,time_decayed,0.966,0.026339952609074214,0.009425630988969907,30
0.5,14.971333333333332,0.0,majority_vote,0.8266666666666667,0.06288102248298566,0.022501684909241558,30
0.5,14.971333333333332,0.0,reputation_weighted,0.996,0.009684683962230054,0.0034656196473689814,30
0.5,14.971333333333332,0.0,time_decayed,0.9786666666666667,0.026747005418374874,0.00957129296605979,30
