sweep,parameter,comparison,n_seeds,mean_diff_pts,p_raw,p_holm,significant_holm,rank_biserial,effect_magnitude
density,0.02,reputation_weighted vs majority_vote,30,1.333333333333334,0.0007527454282757943,0.009785690567585326,yes,1.0,large
density,0.02,time_decayed vs majority_vote,30,-0.2666666666666652,0.6937909449581667,1.0,no,-0.11029411764705882,small
density,0.02,time_decayed vs reputation_weighted,30,-1.5999999999999994,0.0005244422602019279,0.007342191642826991,yes,-0.9122807017543859,large
density,0.05,reputation_weighted vs majority_vote,30,4.400000000000001,6.6883707488079834e-06,0.00022740460545947144,yes,0.9704433497536946,large
density,0.05,time_decayed vs majority_vote,30,0.4666666666666675,0.5313569457115223,1.0,no,0.14855072463768115,small
density,0.05,time_decayed vs reputation_weighted,30,-3.933333333333334,2.8084552988439894e-05,0.0007301983776994373,yes,-0.9344729344729344,large
density,0.1,reputation_weighted vs majority_vote,30,12.266666666666666,1.6741785256701667e-06,0.0001225601172619301,yes,1.0,large
density,0.1,time_decayed vs majority_vote,30,5.0,0.00011425978561212047,0.0022851957122424094,yes,0.8160919540229885,large
density,0.1,time_decayed vs reputation_weighted,30,-7.266666666666666,3.6335474873107823e-06,0.00015139128048086956,yes,-1.0,large
density,0.15,reputation_weighted vs majority_vote,30,18.933333333333334,1.6720605779929798e-06,0.0001225601172619301,yes,1.0,large
density,0.15,time_decayed vs majority_vote,30,12.133333333333333,1.9752367313078763e-06,0.0001225601172619301,yes,0.9935483870967742,large
density,0.15,time_decayed vs reputation_weighted,30,-6.800000000000001,3.96330272210253e-06,0.0001585321088841012,yes,-0.9793103448275862,large
density,0.2,reputation_weighted vs majority_vote,30,23.4,1.6353572673162812e-06,0.0001225601172619301,yes,1.0,large
density,0.2,time_decayed vs majority_vote,30,17.666666666666668,1.6901346861081542e-06,0.0001225601172619301,yes,1.0,large
density,0.2,time_decayed vs reputation_weighted,30,-5.7333333333333325,6.220605567399994e-06,0.0002177211948589998,yes,-0.9586206896551724,large
density,0.3,reputation_weighted vs majority_vote,30,22.33333333333333,1.6146879846587206e-06,0.0001225601172619301,yes,1.0,large
density,0.3,time_decayed vs majority_vote,30,18.33333333333333,1.6901346861081542e-06,0.0001225601172619301,yes,1.0,large
density,0.3,time_decayed vs reputation_weighted,30,-4.0,1.042519795264479e-05,0.0003127559385793437,yes,-0.9656084656084656,large
