flip_probability,algorithm,half_life,mean_accuracy,std_accuracy,ci95_halfwidth,n
0.0,reputation_weighted,,0.9966666666666667,0.00922266074754829,0.003300286763344442,30
0.0,time_decayed,6.0,0.9293333333333333,0.039210601428284864,0.014031333518469056,30
0.0,time_decayed,12.0,0.9746666666666667,0.0209652147588585,0.007502305750293127,30
0.0,time_decayed,24.0,0.992,0.009965457582448805,0.0035660931969951643,30
0.2,reputation_weighted,,0.912,0.042540041988857885,0.015222758521749404,30
0.2,time_decayed,6.0,0.8993333333333333,0.04593348514396947,0.0164370865593446,30
0.2,time_decayed,12.0,0.9346666666666666,0.03277228994906743,0.011727413344586655,30
0.2,time_decayed,24.0,0.938,0.030782888215639397,0.011015515077098892,30
0.4,reputation_weighted,,0.8086666666666666,0.05399446544647493,0.01932167131423881,30
0.4,time_decayed,6.0,0.864,0.053149107106393575,0.019019163717307525,30
0.4,time_decayed,12.0,0.874,0.04874988947821248,0.01744492390682581,30
0.4,time_decayed,24.0,0.866,0.04583328108669959,0.0164012289979647,30
0.6,reputation_weighted,,0.7366666666666667,0.06477192523656045,0.023178335769466835,30
0.6,time_decayed,6.0,0.85,0.058663270539110135,0.02099238175991526,30
0.6,time_decayed,12.0,0.8493333333333333,0.0602828581647034,0.021571943748492455,30
0.6,time_decayed,24.0,0.8146666666666667,0.06146113621116857,0.02199358513233302,30
0.8,reputation_weighted,,0.6313333333333333,0.06861855249949854,0.024554833657320863,30
0.8,time_decayed,6.0,0.818,0.06915250512828325,0.024745906151611576,30
0.8,time_decayed,12.0,0.7946666666666666,0.06826587643220784,0.02442863014745661,30
0.8,time_decayed,24.0,0.7426666666666667,0.05936057749819775,0.02124190985056704,30
