flip_probability,seed,algorithm,accuracy
0.0,2000,majority_vote,0.98
0.0,2000,reputation_weighted,1.0
0.0,2000,time_decayed,0.96
0.0,2001,majority_vote,1.0
0.0,2001,reputation_weighted,1.0
0.0,2001,time_decayed,0.96
0.0,2002,majority_vote,0.98
0.0,2002,reputation_weighted,1.0
0.0,2002,time_decayed,0.96
0.0,2003,majority_vote,1.0
0.0,2003,reputation_weighted,1.0
0.0,2003,time_decayed,1.0
0.0,2004,majority_vote,0.98
0.0,2004,reputation_weighted,1.0
0.0,2004,time_decayed,0.94
0.0,2005,majority_vote,1.0
0.0,2005,reputation_weighted,1.0
0.0,2005,time_decayed,0.98
0.0,2006,majority_vote,1.0
0.0,2006,reputation_weighted,1.0
0.0,2006,time_decayed,0.96
0.0,2007,majority_vote,1.0
0.0,2007,reputation_weighted,1.0
0.0,2007,time_decayed,0.98
0.0,2008,majority_vote,0.98
0.0,2008,reputation_weighted,0.98
0.0,2008,time_decayed,0.98
0.0,2009,majority_vote,0.98
0.0,2009,reputation_weighted,0.98
0.0,2009,time_decayed,0.98
0.0,2010,majority_vote,1.0
0.0,2010,reputation_weighted,0.98
0.0,2010,time_decayed,0.96
0.0,2011,majority_vote,1.0
0.0,2011,reputation_weighted,1.0
0.0,2011,time_decayed,0.96
0.0,2012,majority_vote,1.0
0.0,2012,reputation_weighted,1.0
0.0,2012,time_decayed,1.0
0.0,2013,majority_vote,0.98
0.0,2013,reputation_weighted,0.98
0.0,2013,time_decayed,0.94
0.0,2014,majority_vote,1.0
0.0,2014,reputation_weighted,1.0
0.0,2014,time_decayed,1.0
0.0,2015,majority_vote,1.0
0.0,2015,reputation_weighted,1.0
0.0,2015,time_decayed,0.96
0.0,2016,majority_vote,0.98
0.0,2016,reputation_weighted,0.96
0.0,2016,time_decayed,0.98
0.0,2017,majority_vote,1.0
0.0,2017,reputation_weighted,1.0
0.0,2017,time_decayed,1.0
0.0,2018,majority_vote,1.0
0.0,2018,reputation_weighted,1.0
0.0,2018,time_decayed,0.94
0.0,2019,majority_vote,1.0
0.0,2019,reputation_weighted,1.0
0.0,2019,time_decayed,0.98
0.0,2020,majority_vote,1.0
0.0,2020,reputation_weighted,1.0
0.0,2020,time_decayed,0.96
0.0,2021,majority_vote,0.98
0.0,2021,reputation_weighted,1.0
0.0,2021,time_decayed,0.98
0.0,2022,majority_vote,1.0
0.0,2022,reputation_weighted,1.0
0.0,2022,time_decayed,0.94
0.0,2023,majority_vote,1.0
0.0,2023,reputation_weighted,1.0
0.0,2023,time_decayed,0.98
0.0,2024,majority_vote,0.96
0.0,2024,reputation_weighted,0.96
0.0,2024,time_decayed,0.94
0.0,2025,majority_vote,1.0
0.0,2025,reputation_weighted,1.0
0.0,2025,time_decayed,1.0
0.0,2026,majority_vote,1.0
0.0,2026,reputation_weighted,1.0
0.0,2026,time_decayed,0.98
0.0,2027,majority_vote,1.0
0.0,2027,reputation_weighted,1.0
0.0,2027,time_decayed,0.94
0.0,2028,majority_vote,1.0
0.0,2028,reputation_weighted,1.0
0.0,2028,time_decayed,1.0
0.0,2029,majority_vote,0.98
0.0,2029,reputation_weighted,1.0
0.0,2029,time_decayed,0.98
0.1,2000,majority_vote,0.94
0.1,2000,reputation_weighted,0.94
0.1,2000,time_decayed,0.94
0.1,2001,majority_vote,0.9
0.1,2001,reputation_weighted,0.9
0.1,2001,time_decayed,0.92
0.1,2002,majority_vote,0.88
0.1,2002,reputation_weighted,0.92
0.1,2002,time_decayed,0.96
0.1,2003,majority_vote,0.98
0.1,2003,reputation_weighted,0.98
0.1,2003,time_decayed,0.96
0.1,2004,majority_vote,0.9
0.1,2004,reputation_weighted,0.94
0.1,2004,time_decayed,0.9
0.1,2005,majority_vote,0.96
0.1,2005,reputation_weighted,0.96
0.1,2005,time_decayed,0.94
0.1,2006,majority_vote,0.96
0.1,2006,reputation_weighted,0.96
0.1,2006,time_decayed,0.98
0.1,2007,majority_vote,0.96
0.1,2007,reputation_weighted,0.98
0.1,2007,time_decayed,0.98
0.1,2008,majority_vote,0.96
0.1,2008,reputation_weighted,0.96
0.1,2008,time_decayed,0.98
0.1,2009,majority_vote,0.94
0.1,2009,reputation_weighted,0.92
0.1,2009,time_decayed,0.94
0.1,2010,majority_vote,0.98
0.1,2010,reputation_weighted,0.96
0.1,2010,time_decayed,0.92
0.1,2011,majority_vote,0.94
0.1,2011,reputation_weighted,0.96
0.1,2011,time_decayed,0.94
0.1,2012,majority_vote,0.96
0.1,2012,reputation_weighted,0.98
0.1,2012,time_decayed,0.98
0.1,2013,majority_vote,0.92
0.1,2013,reputation_weighted,0.94
0.1,2013,time_decayed,0.9
0.1,2014,majority_vote,0.96
0.1,2014,reputation_weighted,0.96
0.1,2014,time_decayed,0.96
0.1,2015,majority_vote,0.9
0.1,2015,reputation_weighted,0.9
0.1,2015,time_decayed,0.98
0.1,2016,majority_vote,0.98
0.1,2016,reputation_weighted,0.96
0.1,2016,time_decayed,0.98
0.1,2017,majority_vote,0.96
0.1,2017,reputation_weighted,0.96
0.1,2017,time_decayed,0.98
0.1,2018,majority_vote,0.92
0.1,2018,reputation_weighted,0.92
0.1,2018,time_decayed,0.9
0.1,2019,majority_vote,0.98
0.1,2019,reputation_weighted,0.98
0.1,2019,time_decayed,0.96
0.1,2020,majority_vote,0.98
0.1,2020,reputation_weighted,0.98
0.1,2020,time_decayed,0.94
0.1,2021,majority_vote,0.96
0.1,2021,reputation_weighted,0.98
0.1,2021,time_decayed,0.98
0.1,2022,majority_vote,0.94
0.1,2022,reputation_weighted,0.94
0.1,2022,time_decayed,0.88
0.1,2023,majority_vote,0.98
0.1,2023,reputation_weighted,0.98
0.1,2023,time_decayed,0.98
0.1,2024,majority_vote,0.88
0.1,2024,reputation_weighted,0.9
0.1,2024,time_decayed,0.9
0.1,2025,majority_vote,0.98
0.1,2025,reputation_weighted,0.98
0.1,2025,time_decayed,0.98
0.1,2026,majority_vote,0.94
0.1,2026,reputation_weighted,0.94
0.1,2026,time_decayed,0.94
0.1,2027,majority_vote,0.9
0.1,2027,reputation_weighted,0.92
0.1,2027,time_decayed,0.88
0.1,2028,majority_vote,0.98
0.1,2028,reputation_weighted,0.98
0.1,2028,time_decayed,0.98
0.1,2029,majority_vote,0.94
0.1,2029,reputation_weighted,0.96
0.1,2029,time_decayed,0.94
0.2,2000,majority_vote,0.92
0.2,2000,reputation_weighted,0.94
0.2,2000,time_decayed,0.98
0.2,2001,majority_vote,0.9
0.2,2001,reputation_weighted,0.9
